# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,5.601587757468224,54,Terminated: Crash
1,-158.00052148103714,68,Terminated: Crash
2,-103.81040518917143,78,Terminated: Crash
3,-128.32919107005,61,Terminated: Crash
4,-141.53219339251518,53,Terminated: Crash
5,-179.27334466576576,84,Terminated: Crash
6,-133.9533821940422,56,Terminated: Crash
7,-158.32681357860565,72,Terminated: Crash
8,-154.9411744219251,82,Terminated: Crash
9,-133.3784640431404,48,Terminated: Crash
10,-104.26170740649104,60,Terminated: Crash
11,-105.96783629991114,51,Terminated: Crash
12,-97.00899213505909,58,Terminated: Crash
13,-121.38309207744896,54,Terminated: Crash
14,-112.68044344335794,75,Terminated: Crash
15,-130.09457847476006,54,Terminated: Crash
16,-107.79919745773077,52,Terminated: Crash
17,-184.21448546648026,66,Terminated: Crash
18,-136.20095311664045,60,Terminated: Crash
19,-115.80711489915848,56,Terminated: Crash
20,-129.2619433104992,57,Terminated: Crash
21,-154.00598791241646,68,Terminated: Crash
22,-151.9054952263832,56,Terminated: Crash
23,-182.00660091638565,74,Terminated: Crash
24,-173.5294865804026,85,Terminated: Crash
25,-138.97510582208633,57,Terminated: Crash
26,-162.29441875219345,69,Terminated: Crash
27,-181.3462397456169,70,Terminated: Crash
28,-143.27248239517212,82,Terminated: Crash
29,-133.3317944407463,54,Terminated: Crash
30,-148.03065878897905,78,Terminated: Crash
31,-127.58957930933684,56,Terminated: Crash
32,-95.80496039334685,56,Terminated: Crash
33,-102.59684383869171,67,Terminated: Crash
34,-124.27215210476425,80,Terminated: Crash
35,-135.68691503140144,60,Terminated: Crash
36,-126.89365976769477,82,Terminated: Crash
37,-107.3286625109613,78,Terminated: Crash
38,-116.62138290982693,59,Terminated: Crash
39,-127.34774781158194,61,Terminated: Crash
40,-97.03493708372116,54,Terminated: Crash
41,-131.18025720492005,64,Terminated: Crash
42,-171.11833015829325,80,Terminated: Crash
43,-193.99787831306458,84,Terminated: Crash
44,-156.55531173944473,58,Terminated: Crash
45,-187.18789398670197,66,Terminated: Crash
46,-138.91206613741815,65,Terminated: Crash
47,-112.78363818721846,76,Terminated: Crash
48,-121.00033248309046,54,Terminated: Crash
49,-112.75837197093642,53,Terminated: Crash
50,-115.02781428489834,75,Terminated: Crash
51,-111.73715187888592,52,Terminated: Crash
52,-133.02842478081584,90,Terminated: Crash
53,-164.85571092367172,67,Terminated: Crash
54,-132.61910813348368,59,Terminated: Crash
55,-140.16893251845613,62,Terminated: Crash
56,-122.01283633708954,56,Terminated: Crash
57,-138.37154001370072,63,Terminated: Crash
58,-290.61060194764286,111,Terminated: Crash
59,-117.1793144796975,73,Terminated: Crash
60,-148.00460803322494,82,Terminated: Crash
61,-173.03046262264252,71,Terminated: Crash
62,-131.88015841972083,64,Terminated: Crash
63,-140.4633721858263,57,Terminated: Crash
64,-97.6570737939328,58,Terminated: Crash
65,-287.516363799572,100,Terminated: Crash
66,-119.61745850928128,55,Terminated: Crash
67,-136.65275796526112,77,Terminated: Crash
68,-181.8567182868719,85,Terminated: Crash
69,-132.09946094453335,59,Terminated: Crash
70,-165.41719549894333,70,Terminated: Crash
71,-286.32265850901604,102,Terminated: Crash
72,-109.65421113371849,77,Terminated: Crash
73,-118.89356413902715,76,Terminated: Crash
74,-160.6150125861168,64,Terminated: Crash
75,-114.84820219408721,89,Terminated: Crash
76,-162.9446667432785,68,Terminated: Crash
77,-157.01486366800964,76,Terminated: Crash
78,-133.45799820125103,52,Terminated: Crash
79,-140.17824255209416,61,Terminated: Crash
80,-137.15736389532685,72,Terminated: Crash
81,-132.39507250487804,53,Terminated: Crash
82,-105.99756617832463,53,Terminated: Crash
83,-167.97188214492053,86,Terminated: Crash
84,-160.9923677444458,68,Terminated: Crash
85,-108.5072273160331,56,Terminated: Crash
86,-120.84014639258385,48,Terminated: Crash
87,-142.13363674283028,60,Terminated: Crash
88,-145.1149933040142,57,Terminated: Crash
89,-84.41492652893066,57,Terminated: Crash
90,-112.1766192195937,60,Terminated: Crash
91,-135.1121564656496,57,Terminated: Crash
92,-101.29135548695922,54,Terminated: Crash
93,-113.20915629155934,58,Terminated: Crash
94,-152.66836604475975,56,Terminated: Crash
95,-122.96368859149516,59,Terminated: Crash
96,-190.59179338812828,79,Terminated: Crash
97,-165.17251873016357,67,Terminated: Crash
98,-201.96820192039013,88,Terminated: Crash
99,-122.7356700077653,57,Terminated: Crash
100,-167.63835501670837,73,Terminated: Crash
101,11.175444055348635,98,Terminated: Crash
102,-133.57831805944443,83,Terminated: Crash
103,-150.0373796224594,85,Terminated: Crash
104,-125.97051277570426,78,Terminated: Crash
