# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-122.23468881512568,92,Terminated: Crash
1,-80.71813209420873,72,Terminated: Crash
2,-145.7483077454321,81,Terminated: Crash
3,-97.0674688825579,92,Terminated: Crash
4,-125.82551886683623,103,Terminated: Crash
5,-184.48478530071975,78,Terminated: Crash
6,-129.9158801186209,64,Terminated: Crash
7,-28.267615253983948,94,Terminated: Crash
8,-97.23539775170049,95,Terminated: Crash
9,-47.75479001911384,164,Terminated: Crash
10,7.230506342104917,91,Terminated: Crash
11,-108.09408831399429,160,Terminated: Crash
12,-11.240814431046914,86,Terminated: Crash
13,-128.13476026282171,121,Terminated: Crash
14,-51.51783658377109,113,Terminated: Crash
15,-32.13759743025558,161,Terminated: Crash
16,14.466383527917959,999,Truncated: Sleep
17,117.34206654182347,999,Truncated: Sleep
18,-84.11509003703502,999,Truncated: Sleep
19,-16.277089984266144,999,Truncated: Sleep
20,-7.026456409652302,999,Truncated: Sleep
21,-53.881018639854965,999,Truncated: Sleep
22,-83.21488089783186,999,Truncated: Sleep
23,-31.38690567308703,352,Terminated: Crash
24,12.297274581107093,999,Truncated: Sleep
25,-39.44747774058489,999,Truncated: Sleep
26,-93.11046648475376,999,Truncated: Sleep
27,3.619720642966702,999,Truncated: Sleep
28,8.76548350794362,999,Truncated: Sleep
29,156.46688169305327,540,Terminated: Crash
30,-64.74953402484894,999,Truncated: Sleep
31,-38.96757852282995,999,Truncated: Sleep
32,-5.952136167216544,999,Truncated: Sleep
33,-29.666042088269243,999,Truncated: Sleep
34,76.110577841527,847,Terminated: Crash
35,60.237605282577135,999,Truncated: Sleep
36,-58.18680361383321,999,Truncated: Sleep
37,-87.59875521180767,826,Terminated: Crash
38,-33.120114034029896,999,Truncated: Sleep
39,233.1529881872867,490,Terminated: Landed
40,228.53260188796054,398,Terminated: Landed
41,4.075692889010386,999,Truncated: Sleep
42,-25.535563097494542,999,Truncated: Sleep
43,76.16361773756263,998,Terminated: Crash
44,166.28182026062277,539,Terminated: Crash
45,208.32159702012012,300,Terminated: Landed
46,105.00136920642001,979,Terminated: Crash
47,-24.10145812635709,999,Truncated: Sleep
48,187.67410824367008,396,Terminated: Crash
49,227.63485567146563,303,Terminated: Landed
50,165.6562123508569,536,Terminated: Crash
51,145.52801419278063,853,Terminated: Crash
52,198.35657113485308,545,Terminated: Crash
53,-11.696766510065492,999,Truncated: Sleep
54,-11.901223318609283,303,Terminated: Crash
55,-39.00150195809373,999,Truncated: Sleep
56,-15.419279883968036,999,Truncated: Sleep
57,-46.44242816568939,999,Truncated: Sleep
58,-25.01736264193833,999,Truncated: Sleep
59,-51.65382000409313,999,Truncated: Sleep
60,213.33625481036955,594,Terminated: Landed
61,-33.99852671122184,999,Truncated: Sleep
62,23.287116838978918,999,Truncated: Sleep
63,-186.64619866827982,253,Terminated: Crash
64,-29.80543192988652,999,Truncated: Sleep
65,-24.001896921374552,999,Truncated: Sleep
66,-167.4976919436416,331,Terminated: Crash
67,295.56677472450315,345,Terminated: Landed
68,-85.86355862432276,999,Truncated: Sleep
69,-110.00303344483046,999,Truncated: Sleep
70,183.1217639767788,575,Terminated: Crash
71,176.49501730315868,698,Terminated: Crash
72,177.0117427628179,647,Terminated: Crash
73,245.53669007037786,375,Terminated: Landed
74,7.463329403907309,999,Truncated: Sleep
75,-9.654525321296646,999,Truncated: Sleep
76,218.55321683687492,572,Terminated: Landed
77,-49.1102107485422,999,Truncated: Sleep
78,214.8545184827998,600,Terminated: Landed
79,24.06821427324602,999,Truncated: Sleep
80,204.92026214033353,655,Terminated: Landed
81,212.521518464823,715,Terminated: Landed
82,192.46403170674824,673,Terminated: Crash
83,-11.990594894322662,999,Truncated: Sleep
84,16.973327198702858,999,Truncated: Sleep
85,4.189091480934412,999,Truncated: Sleep
86,-8.78747783871681,999,Truncated: Sleep
87,-29.364855423073568,999,Truncated: Sleep
88,-44.8824152465079,999,Truncated: Sleep
89,-9.938444829054387,999,Truncated: Sleep
90,214.99242022798654,765,Terminated: Landed
91,179.6651468889834,762,Terminated: Crash
92,146.81259387727494,652,Terminated: Crash
93,-5.033409301951581,999,Truncated: Sleep
94,197.86116234710113,610,Terminated: Crash
95,157.15881021757113,655,Terminated: Crash
96,-1.1301226207778685,999,Truncated: Sleep
97,9.442386666720271,999,Truncated: Sleep
98,-12.443117640090403,999,Truncated: Sleep
99,2.8840748444687216,999,Truncated: Sleep
100,9.809271186412241,999,Truncated: Sleep
101,31.0753714082099,999,Truncated: Sleep
102,214.05828875320697,679,Terminated: Landed
103,129.97571712734785,767,Terminated: Crash
104,148.77787938205296,869,Terminated: Crash
105,182.2198591179786,714,Terminated: Crash
106,164.48683711935968,839,Terminated: Crash
107,170.6614013568145,681,Terminated: Crash
108,204.02599046738564,641,Terminated: Landed
109,183.9606307288655,884,Terminated: Crash
110,175.10784200556682,559,Terminated: Crash
111,233.40496839622418,409,Terminated: Landed
112,227.30827532916095,563,Terminated: Landed
113,228.8460047875152,633,Terminated: Landed
114,231.7451039647216,341,Terminated: Landed
115,51.74895216263528,999,Truncated: Sleep
116,211.5174977912454,614,Terminated: Landed
117,192.56509186435363,770,Terminated: Crash
118,261.596810790246,272,Terminated: Landed
119,253.18357409061124,286,Terminated: Landed
120,269.65566666159805,245,Terminated: Landed
121,258.03939311406504,485,Terminated: Landed
122,240.80292376859975,442,Terminated: Landed
123,215.2265347463758,589,Terminated: Landed
124,198.19286306311858,438,Terminated: Crash
125,235.40491869988762,489,Terminated: Landed
126,257.17068158686084,291,Terminated: Landed
127,173.30717366560606,505,Terminated: Crash
128,267.344069340692,271,Terminated: Landed
129,219.14423775668195,712,Terminated: Landed
130,263.72043636646356,517,Terminated: Landed
131,220.57932984380113,537,Terminated: Landed
132,278.4370176466879,635,Terminated: Landed
133,258.1106996409508,270,Terminated: Landed
134,209.40992218428198,360,Terminated: Landed
135,80.69107461401092,999,Truncated: Sleep
136,181.8844111706634,430,Terminated: Crash
137,222.68360729072322,288,Terminated: Landed
138,215.7460570937315,448,Terminated: Landed
139,240.232136702239,541,Terminated: Landed
140,278.39662915050667,327,Terminated: Landed
141,286.31553966972933,285,Terminated: Landed
142,239.18968335897085,281,Terminated: Landed
143,265.30664566287567,381,Terminated: Landed
