# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-215.45025038719177,75,Terminated: Crash
1,-122.41900457069278,81,Terminated: Crash
2,-120.19184561066504,58,Terminated: Crash
3,-106.32555333338678,53,Terminated: Crash
4,-146.2874840751756,67,Terminated: Crash
5,-137.83803048729897,54,Terminated: Crash
6,-153.93253165483475,56,Terminated: Crash
7,-182.68451875448227,73,Terminated: Crash
8,-136.76708841323853,65,Terminated: Crash
9,-135.07042510807514,53,Terminated: Crash
10,-119.02945453301072,87,Terminated: Crash
11,-144.54536494612694,72,Terminated: Crash
12,-98.85991802439094,84,Terminated: Crash
13,-141.8060027875472,67,Terminated: Crash
14,-140.74738128110766,58,Terminated: Crash
15,-167.94459944963455,69,Terminated: Crash
16,-105.07858789525926,79,Terminated: Crash
17,-149.00717616081238,64,Terminated: Crash
18,-112.60067737055942,51,Terminated: Crash
19,-175.22175896167755,82,Terminated: Crash
20,-167.64569109678268,68,Terminated: Crash
21,-125.14235865324736,88,Terminated: Crash
22,-103.62529051490128,50,Terminated: Crash
23,-107.6452054977417,51,Terminated: Crash
24,4.6463552275672555,90,Terminated: Crash
25,-167.55959644913673,71,Terminated: Crash
26,-138.62259869650006,66,Terminated: Crash
27,-128.1804553642869,56,Terminated: Crash
28,-151.2171992054209,86,Terminated: Crash
29,-157.52159103751183,59,Terminated: Crash
30,-121.7544938325882,58,Terminated: Crash
31,23.234263747930527,58,Terminated: Crash
32,-174.39247645251453,85,Terminated: Crash
33,-204.7153818011284,84,Terminated: Crash
34,-110.58472204185091,81,Terminated: Crash
35,-123.96162613667548,74,Terminated: Crash
36,-150.11657275632024,85,Terminated: Crash
37,-19.81916719675064,80,Terminated: Crash
38,-147.12709560990334,63,Terminated: Crash
39,-125.68240768904798,69,Terminated: Crash
40,-98.06447446346283,73,Terminated: Crash
41,-131.20145234232768,88,Terminated: Crash
42,-144.64939498901367,70,Terminated: Crash
43,-271.1056815981865,97,Terminated: Crash
44,-131.49189820885658,64,Terminated: Crash
45,-165.41482580360025,84,Terminated: Crash
46,-146.17737795365974,66,Terminated: Crash
47,-140.518608443439,69,Terminated: Crash
48,-146.09906161599793,85,Terminated: Crash
49,-149.17401114106178,75,Terminated: Crash
50,33.73468665778637,97,Terminated: Crash
51,-154.19000309705734,61,Terminated: Crash
52,-187.9671155810356,73,Terminated: Crash
53,-98.04194415546954,54,Terminated: Crash
54,-99.58030548039824,83,Terminated: Crash
55,0.9630636274814606,82,Terminated: Crash
56,-122.2536699436605,89,Terminated: Crash
57,-117.4201217442751,52,Terminated: Crash
58,-182.0154446363449,69,Terminated: Crash
59,-144.67543890327215,83,Terminated: Crash
60,-137.32503244280815,51,Terminated: Crash
61,-42.26113184352289,88,Terminated: Crash
62,-110.32543386891484,78,Terminated: Crash
63,-103.30708247050643,84,Terminated: Crash
64,-122.72511568851769,77,Terminated: Crash
65,-137.95599062368274,60,Terminated: Crash
66,-144.4755182613153,68,Terminated: Crash
67,-117.03274194709957,89,Terminated: Crash
68,-154.3094282746315,60,Terminated: Crash
69,-136.14775781147182,58,Terminated: Crash
70,-173.10399709641933,83,Terminated: Crash
71,-131.94445427972823,58,Terminated: Crash
72,-126.50407015532255,69,Terminated: Crash
73,-99.4136438369751,70,Terminated: Crash
74,-154.32740378379822,59,Terminated: Crash
75,-147.89388850377873,58,Terminated: Crash
76,-127.68684738129377,68,Terminated: Crash
77,-160.70584247354418,79,Terminated: Crash
78,-138.57066686451435,67,Terminated: Crash
79,-70.56211602687836,83,Terminated: Crash
80,-93.66883339174092,52,Terminated: Crash
81,-122.49108100030571,62,Terminated: Crash
82,-134.5044565568678,58,Terminated: Crash
83,-98.8732167892158,80,Terminated: Crash
84,-4.383234828710556,70,Terminated: Crash
85,-132.52048766054213,68,Terminated: Crash
86,-158.96782565116882,72,Terminated: Crash
87,-177.4173613190651,77,Terminated: Crash
