# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-136.0919178724289,55,Terminated: Crash
1,-138.3442712314427,71,Terminated: Crash
2,-113.00379422307014,51,Terminated: Crash
3,-119.15322876162827,67,Terminated: Crash
4,-83.91461091302335,51,Terminated: Crash
5,-137.56512718461454,65,Terminated: Crash
6,-98.5054736607708,58,Terminated: Crash
7,-140.1208610162139,60,Terminated: Crash
8,-134.45346462726593,52,Terminated: Crash
9,-147.34621232748032,54,Terminated: Crash
10,-116.4816072396934,64,Terminated: Crash
11,-117.35326224705204,63,Terminated: Crash
12,-36.592309325933456,75,Terminated: Crash
13,-144.7744803354144,84,Terminated: Crash
14,-130.2452409490943,73,Terminated: Crash
15,-30.36933097243309,83,Terminated: Crash
16,-150.83266957104206,68,Terminated: Crash
17,-158.19994320720434,76,Terminated: Crash
18,-110.00382196903229,63,Terminated: Crash
19,-117.17629407905042,84,Terminated: Crash
20,-155.15015918016434,56,Terminated: Crash
21,-135.90929777594283,74,Terminated: Crash
22,-164.55883526802063,61,Terminated: Crash
23,-176.92828235030174,77,Terminated: Crash
24,-125.40015661343932,53,Terminated: Crash
25,-138.36637787893414,82,Terminated: Crash
26,-117.41616227664053,75,Terminated: Crash
27,-139.04198682308197,51,Terminated: Crash
28,-187.55569177865982,74,Terminated: Crash
29,-126.43328282795846,68,Terminated: Crash
30,-161.59020817279816,82,Terminated: Crash
31,-133.70046443818137,85,Terminated: Crash
32,-155.28068587370217,62,Terminated: Crash
33,-167.44894856214523,66,Terminated: Crash
34,-129.71388588333502,75,Terminated: Crash
35,-108.04248571582139,55,Terminated: Crash
36,-103.51340347446967,89,Terminated: Crash
37,-145.87069652974606,78,Terminated: Crash
38,-146.94952807947993,82,Terminated: Crash
39,-113.3660086505115,81,Terminated: Crash
40,-143.50284396996722,69,Terminated: Crash
41,-146.4072072240524,77,Terminated: Crash
42,-126.22836731234565,68,Terminated: Crash
43,-163.23245173692703,63,Terminated: Crash
44,-143.07538031041622,63,Terminated: Crash
45,-126.67783010005951,62,Terminated: Crash
46,-44.22132276999764,78,Terminated: Crash
47,-183.7413396462798,85,Terminated: Crash
48,-134.95144069194794,81,Terminated: Crash
49,-32.994891941547394,71,Terminated: Crash
50,-105.63755946606398,53,Terminated: Crash
51,-144.10489374399185,66,Terminated: Crash
52,-143.25025889277458,51,Terminated: Crash
53,-170.78242244105786,77,Terminated: Crash
54,-145.80747377313673,73,Terminated: Crash
55,-136.36609272361966,58,Terminated: Crash
56,-119.27523963153362,69,Terminated: Crash
57,-119.3716349042952,61,Terminated: Crash
58,-108.00664052553475,78,Terminated: Crash
59,-141.2709388434887,63,Terminated: Crash
60,-136.81240898370743,50,Terminated: Crash
61,-132.52509989961982,64,Terminated: Crash
62,-122.82265790994279,88,Terminated: Crash
63,-115.53256521280855,63,Terminated: Crash
64,-120.80918624997139,48,Terminated: Crash
65,-202.6755158007145,83,Terminated: Crash
66,-142.47117121890187,79,Terminated: Crash
67,-195.73431815952063,92,Terminated: Crash
68,-153.9789177030325,70,Terminated: Crash
69,-127.0462831929326,83,Terminated: Crash
70,-124.19705949164927,69,Terminated: Crash
71,-113.15162448585033,59,Terminated: Crash
72,-138.0124790072441,66,Terminated: Crash
73,-170.15613454580307,69,Terminated: Crash
74,-166.38398832082748,68,Terminated: Crash
75,-111.41144510521553,52,Terminated: Crash
76,-169.55035304650664,80,Terminated: Crash
77,-145.70634324848652,85,Terminated: Crash
78,-123.86682397965342,65,Terminated: Crash
79,-111.77814893517643,50,Terminated: Crash
80,-117.05303103593178,87,Terminated: Crash
81,-131.08038014173508,70,Terminated: Crash
82,-196.38791173696518,76,Terminated: Crash
83,-133.87901338934898,60,Terminated: Crash
84,-157.76718203350902,81,Terminated: Crash
85,-180.32752978801727,73,Terminated: Crash
86,-73.64943858981133,61,Terminated: Crash
87,-167.1541833281517,70,Terminated: Crash
88,-119.9739683996886,64,Terminated: Crash
89,-120.21673766616732,84,Terminated: Crash
90,-137.02047288697213,72,Terminated: Crash
91,-108.56293516047299,79,Terminated: Crash
92,-158.16640175366774,76,Terminated: Crash
93,-158.51535527408123,73,Terminated: Crash
94,-169.61118506267667,86,Terminated: Crash
95,-198.26646441221237,78,Terminated: Crash
96,-112.80595340859145,75,Terminated: Crash
97,-115.09497525263578,85,Terminated: Crash
98,-138.9675558079034,81,Terminated: Crash
99,-126.30918193235993,78,Terminated: Crash
100,-131.2338735810481,65,Terminated: Crash
101,-131.24601036310196,49,Terminated: Crash
102,-86.54794662818313,88,Terminated: Crash
103,-166.0879784822464,62,Terminated: Crash
104,-107.52045955881476,58,Terminated: Crash
105,-105.55013449280523,61,Terminated: Crash
