# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-155.11184845212847,75,Terminated: Crash
1,-111.75409049820155,62,Terminated: Crash
2,-194.63099211454391,80,Terminated: Crash
3,-149.56075870990753,56,Terminated: Crash
4,-137.7121720314026,57,Terminated: Crash
5,-111.71041941549629,53,Terminated: Crash
6,-175.71440547704697,68,Terminated: Crash
7,-128.5644055203884,53,Terminated: Crash
8,-150.46230876632035,79,Terminated: Crash
9,-101.73674836009741,55,Terminated: Crash
10,-149.76283517852426,86,Terminated: Crash
11,-120.83537468314171,59,Terminated: Crash
12,-130.81516429781914,56,Terminated: Crash
13,-178.16044360399246,68,Terminated: Crash
14,-155.7000026702881,63,Terminated: Crash
15,-67.59067380428314,57,Terminated: Crash
16,1.4815919380635023,97,Terminated: Crash
17,-156.94276994466782,67,Terminated: Crash
18,-129.3244548337534,53,Terminated: Crash
19,-134.41953124850988,59,Terminated: Crash
20,-138.78064255416393,56,Terminated: Crash
21,-119.57622865773737,65,Terminated: Crash
22,-147.61676483228803,84,Terminated: Crash
23,-133.51025159657001,83,Terminated: Crash
24,40.216572284698486,98,Terminated: Crash
25,-108.25701002543792,87,Terminated: Crash
26,-113.96748796105385,59,Terminated: Crash
27,-153.0346751511097,62,Terminated: Crash
28,-51.21047822292894,84,Terminated: Crash
29,-44.06929114460945,62,Terminated: Crash
30,-131.51095790136606,59,Terminated: Crash
31,-113.23145559895784,84,Terminated: Crash
32,-146.8853753581643,69,Terminated: Crash
33,-140.65390891581774,63,Terminated: Crash
34,-137.9808868765831,51,Terminated: Crash
35,-145.0961176753044,55,Terminated: Crash
36,-166.78389883041382,75,Terminated: Crash
37,-134.9567098133266,83,Terminated: Crash
38,-125.06534786522388,49,Terminated: Crash
39,-157.4008552134037,68,Terminated: Crash
40,-94.12309452705085,55,Terminated: Crash
41,-196.65897753834724,81,Terminated: Crash
42,-106.6418891157955,61,Terminated: Crash
43,-142.50003004074097,58,Terminated: Crash
44,-175.81580087542534,89,Terminated: Crash
45,-104.32070590928197,79,Terminated: Crash
46,-154.28386485553347,82,Terminated: Crash
47,-133.3798763807863,77,Terminated: Crash
48,-124.45981027465314,56,Terminated: Crash
49,-120.54749986249954,51,Terminated: Crash
50,-83.16823559964541,90,Terminated: Crash
51,37.7844822332263,79,Terminated: Crash
52,-130.1667159795761,52,Terminated: Crash
53,-140.96407183166593,71,Terminated: Crash
54,-16.224193036556244,80,Terminated: Crash
55,-166.84531465172768,79,Terminated: Crash
56,-126.1652498319745,59,Terminated: Crash
57,-135.90119065344334,67,Terminated: Crash
58,-174.76486617326736,69,Terminated: Crash
59,-138.56105767842382,82,Terminated: Crash
60,-119.60167164262384,52,Terminated: Crash
61,-133.95236724615097,67,Terminated: Crash
62,-144.42096391227096,76,Terminated: Crash
63,-114.26712752599269,52,Terminated: Crash
64,-19.68258038163185,76,Terminated: Crash
65,-142.0050691505894,73,Terminated: Crash
66,-117.89744253084064,82,Terminated: Crash
67,-122.44785956386477,85,Terminated: Crash
68,-126.44541299529374,52,Terminated: Crash
69,-139.50529536232352,58,Terminated: Crash
70,-144.97208812832832,55,Terminated: Crash
71,-137.78638015687466,76,Terminated: Crash
72,-101.6220878942404,55,Terminated: Crash
73,-99.70447147078812,57,Terminated: Crash
74,-135.26551541686058,53,Terminated: Crash
75,-111.8147603571415,50,Terminated: Crash
76,-136.76379907131195,55,Terminated: Crash
77,-149.0470363534987,75,Terminated: Crash
78,-182.96192279458046,82,Terminated: Crash
79,-164.76472467184067,65,Terminated: Crash
80,-135.4185770135373,57,Terminated: Crash
81,-130.29822426335886,71,Terminated: Crash
82,-121.04429357871413,53,Terminated: Crash
83,-163.20605355594307,77,Terminated: Crash
84,-168.4011595249176,75,Terminated: Crash
85,-128.6863797181286,88,Terminated: Crash
86,-111.83137429412454,76,Terminated: Crash
87,-163.6774307489395,65,Terminated: Crash
88,-120.30456850677729,83,Terminated: Crash
89,-105.8096501454711,78,Terminated: Crash
90,-198.3794899880886,79,Terminated: Crash
91,-142.94418630748987,69,Terminated: Crash
92,-148.10541784018278,69,Terminated: Crash
93,-110.6202860372141,90,Terminated: Crash
94,-131.13182584306924,62,Terminated: Crash
95,-120.38598306849599,83,Terminated: Crash
96,-172.99549748934805,86,Terminated: Crash
97,-150.8909798413515,64,Terminated: Crash
98,-148.56324231624603,66,Terminated: Crash
99,-175.60206723213196,68,Terminated: Crash
100,6.42502036690712,94,Terminated: Crash
101,-108.39156572148204,61,Terminated: Crash
102,-96.69183284044266,53,Terminated: Crash
103,-131.04103434458375,71,Terminated: Crash
104,-139.18590916320682,72,Terminated: Crash
105,-136.31891784071922,89,Terminated: Crash
106,-114.6774484179914,54,Terminated: Crash
107,-179.05993735790253,67,Terminated: Crash
108,-170.01215735077858,81,Terminated: Crash
109,-167.6412361226976,89,Terminated: Crash
110,-167.23510764539242,85,Terminated: Crash
111,-127.12050431966782,75,Terminated: Crash
112,-141.09342761756852,61,Terminated: Crash
113,-136.45865601301193,53,Terminated: Crash
114,-115.87211400736123,58,Terminated: Crash
115,-145.77864188421518,74,Terminated: Crash
116,5.406862318515778,64,Terminated: Crash
117,-139.0784601937048,87,Terminated: Crash
118,-117.61933299899101,83,Terminated: Crash
119,-119.78475182922557,61,Terminated: Crash
120,-148.32627057656646,83,Terminated: Crash
121,-145.77490665391088,83,Terminated: Crash
122,-154.7722639888525,70,Terminated: Crash
123,-89.32739186752588,55,Terminated: Crash
124,-57.5237519107759,77,Terminated: Crash
125,-131.766838863492,72,Terminated: Crash
126,-152.45806965988595,89,Terminated: Crash
127,-117.05988459754735,54,Terminated: Crash
128,-153.05251788720489,75,Terminated: Crash
129,-126.44505232945085,69,Terminated: Crash
130,-144.90256363153458,53,Terminated: Crash
131,-137.545840382576,57,Terminated: Crash
132,-151.11110067367554,57,Terminated: Crash
133,-172.3901563094696,82,Terminated: Crash
134,-86.06600113864988,52,Terminated: Crash
135,-135.45593006908894,65,Terminated: Crash
136,-150.56842878460884,87,Terminated: Crash
137,-148.88377887010574,67,Terminated: Crash
138,-152.3761545829475,75,Terminated: Crash
139,-96.07066161185503,71,Terminated: Crash
140,-158.2654635310173,72,Terminated: Crash
