# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-65.10669164476474,63,Terminated: Crash
1,-547.8924476613064,102,Terminated: Out of view
2,-202.11892676972536,89,Terminated: Crash
3,-141.88010842367294,80,Terminated: Crash
4,-108.46046468647393,59,Terminated: Crash
5,-139.06928116083023,99,Terminated: Crash
6,-236.8871921663886,118,Terminated: Crash
7,-164.34305209061526,112,Terminated: Crash
8,-262.45637125356393,87,Terminated: Crash
9,-417.3375509216504,110,Terminated: Out of view
10,-258.5962906312144,122,Terminated: Crash
11,-36.40506322151691,107,Terminated: Crash
12,-536.0344917214956,89,Terminated: Out of view
13,-18.9980048167932,100,Terminated: Crash
14,-45.546055141843674,119,Terminated: Crash
15,-450.2315978867338,130,Terminated: Out of view
16,-201.04472713791301,119,Terminated: Crash
17,-239.28427327983346,199,Terminated: Crash
18,-253.32156092450265,160,Terminated: Crash
19,-322.9627730798324,133,Terminated: Out of view
20,16.212372048021507,194,Terminated: Crash
21,-244.24663078962857,290,Terminated: Crash
22,-222.10963911255325,84,Terminated: Crash
23,-170.16263582406458,296,Terminated: Crash
24,-179.39704134325163,177,Terminated: Crash
25,-130.75219074185173,145,Terminated: Crash
26,-149.99861021044256,310,Terminated: Crash
27,-310.7506657591981,308,Terminated: Out of view
28,-64.14091280836064,129,Terminated: Crash
29,-303.42289114188645,356,Terminated: Out of view
30,-196.93899161842052,999,Truncated: Sleep
31,-153.22953523579335,999,Truncated: Sleep
32,-245.52271383657092,888,Terminated: Crash
33,-211.84002608750782,640,Terminated: Crash
34,-92.18865015242152,554,Terminated: Crash
35,-176.5184197754886,562,Terminated: Crash
36,-115.66845847335927,999,Truncated: Sleep
37,-0.0724035384657391,999,Truncated: Sleep
38,-380.1285040967859,586,Terminated: Out of view
39,197.323406705337,534,Terminated: Crash
40,35.738915535480125,999,Truncated: Sleep
41,-69.3670612745595,148,Terminated: Crash
42,170.47143099796432,710,Terminated: Crash
43,-248.03946766332004,848,Terminated: Crash
44,-101.92278452518853,128,Terminated: Crash
45,-8.523318940480568,999,Truncated: Sleep
46,13.523083735314035,999,Truncated: Sleep
47,-244.27450616208162,448,Terminated: Crash
48,-9.52301828418336,999,Truncated: Sleep
49,-69.22005042831849,999,Truncated: Sleep
50,-303.57149024355385,705,Terminated: Out of view
51,-26.569455140403296,999,Truncated: Sleep
52,-29.613212866693658,999,Truncated: Sleep
53,-20.99824956649037,999,Truncated: Sleep
54,-30.530406409966012,999,Truncated: Sleep
55,-26.36693621597436,999,Truncated: Sleep
56,-15.965285885192143,999,Truncated: Sleep
57,-57.430990939020774,999,Truncated: Sleep
58,-46.706787167163355,190,Terminated: Crash
59,-9.165762621714887,999,Truncated: Sleep
60,-13.522962567247195,999,Truncated: Sleep
61,-45.25505065443049,999,Truncated: Sleep
62,-6.4648696392087865,999,Truncated: Sleep
63,-22.426244174027616,999,Truncated: Sleep
64,-45.033525930578506,999,Truncated: Sleep
65,2.9248031347829873,999,Truncated: Sleep
66,-49.35361146086517,999,Truncated: Sleep
67,-21.210417563336907,999,Truncated: Sleep
68,-114.43731793252068,999,Truncated: Sleep
69,4.162704833365984,999,Truncated: Sleep
70,171.88695914382544,950,Terminated: Crash
71,111.88876518026892,972,Terminated: Crash
72,-54.21764491887284,999,Truncated: Sleep
73,-64.80327941217874,999,Truncated: Sleep
74,-20.177704962366693,999,Truncated: Sleep
75,-56.12240024356343,999,Truncated: Sleep
76,-93.08946417506105,999,Truncated: Sleep
77,-144.33518962455977,999,Truncated: Sleep
78,-101.63110152640598,999,Truncated: Sleep
79,-82.68221369132375,999,Truncated: Sleep
80,-91.80699325228987,999,Truncated: Sleep
81,-117.48797240424425,999,Truncated: Sleep
82,-50.035357435646155,999,Truncated: Sleep
83,-56.80174298034964,999,Truncated: Sleep
84,-29.97112537553911,999,Truncated: Sleep
85,-56.51024898028859,999,Truncated: Sleep
86,-61.455876834374166,999,Truncated: Sleep
87,-75.90162249647686,999,Truncated: Sleep
88,-41.511029510995016,999,Truncated: Sleep
89,-61.91271218720056,999,Truncated: Sleep
90,-30.249139691401737,999,Truncated: Sleep
91,-42.04088795675348,999,Truncated: Sleep
92,-7.703696207920658,999,Truncated: Sleep
93,-78.06019821214294,999,Truncated: Sleep
