# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-122.23468881512568,92,Terminated: Crash
1,-80.71813209420873,72,Terminated: Crash
2,-145.7483077454321,81,Terminated: Crash
3,-97.0674688825579,92,Terminated: Crash
4,-125.82551886683623,103,Terminated: Crash
5,-184.48478530071975,78,Terminated: Crash
6,-129.9158801186209,64,Terminated: Crash
7,-28.267615253983948,94,Terminated: Crash
8,-97.23539775170049,95,Terminated: Crash
9,-96.34355547321866,175,Terminated: Crash
10,-115.84796783287321,152,Terminated: Crash
11,-128.07858093220045,160,Terminated: Crash
12,-39.86876505085867,112,Terminated: Crash
13,-95.62166291102218,141,Terminated: Crash
14,8.712735856043736,155,Terminated: Crash
15,-139.6102983994221,147,Terminated: Crash
16,5.74222852118703,999,Truncated: Sleep
17,-28.34938713400443,999,Truncated: Sleep
18,-7.568004377017341,999,Truncated: Sleep
19,19.02569641448839,999,Truncated: Sleep
20,-14.063805868486114,999,Truncated: Sleep
21,-70.50232013577012,999,Truncated: Sleep
22,-62.887274797978804,999,Truncated: Sleep
23,-62.50543456622782,999,Truncated: Sleep
24,-24.644762375724977,999,Truncated: Sleep
25,-26.36076220706985,999,Truncated: Sleep
26,-38.91788486910891,999,Truncated: Sleep
27,-51.14186998021978,999,Truncated: Sleep
28,23.367401041521912,999,Truncated: Sleep
29,-71.13170084878409,999,Truncated: Sleep
30,-54.94495074395311,999,Truncated: Sleep
31,-13.861419300569409,200,Terminated: Crash
32,0.4860710443472247,999,Truncated: Sleep
33,181.63439214092307,677,Terminated: Crash
34,0.9424515443555253,999,Truncated: Sleep
35,-4.341164381944014,999,Truncated: Sleep
36,1.2426896995255965,999,Truncated: Sleep
37,11.42734455235836,999,Truncated: Sleep
38,-15.400370319651744,999,Truncated: Sleep
39,-68.28492227159462,999,Truncated: Sleep
40,-0.8132293223410498,999,Truncated: Sleep
41,-8.642385468052181,999,Truncated: Sleep
42,6.9597834213469385,999,Truncated: Sleep
43,-45.63300923383245,999,Truncated: Sleep
44,-33.55390448503173,999,Truncated: Sleep
45,-66.1585757257607,999,Truncated: Sleep
46,-24.669894201137758,999,Truncated: Sleep
47,-72.73606342845443,999,Truncated: Sleep
48,-65.07471148121819,999,Truncated: Sleep
49,-65.32561919677336,999,Truncated: Sleep
50,-63.82349833025541,999,Truncated: Sleep
51,-19.90279063550379,999,Truncated: Sleep
52,-39.215509281121044,999,Truncated: Sleep
53,-14.14870010280834,999,Truncated: Sleep
54,13.36700289016288,999,Truncated: Sleep
55,1.910762642890537,999,Truncated: Sleep
56,-39.38939623281259,999,Truncated: Sleep
57,33.030508837025316,999,Truncated: Sleep
58,-24.96446411805637,999,Truncated: Sleep
59,28.13454512963785,999,Truncated: Sleep
60,-50.30056530452661,999,Truncated: Sleep
61,-3.8332096284915806,999,Truncated: Sleep
62,-11.693754982750576,999,Truncated: Sleep
63,15.613661717870837,999,Truncated: Sleep
64,-11.295480765448593,999,Truncated: Sleep
65,3.3179551348351497,999,Truncated: Sleep
66,-24.334016812222032,999,Truncated: Sleep
67,22.388494817281863,999,Truncated: Sleep
68,20.621533644869356,999,Truncated: Sleep
69,-30.78359185885877,999,Truncated: Sleep
70,15.283805315818856,999,Truncated: Sleep
71,-15.85578151884281,999,Truncated: Sleep
72,-45.001630049983156,999,Truncated: Sleep
73,-18.790681590470268,999,Truncated: Sleep
74,-20.984920331274452,999,Truncated: Sleep
75,1.3102035167213029,999,Truncated: Sleep
76,-25.82870653085378,999,Truncated: Sleep
77,179.97008695752487,762,Terminated: Crash
78,-113.6704331259617,59,Terminated: Crash
79,7.504716929063153,999,Truncated: Sleep
80,16.325552603985003,999,Truncated: Sleep
81,33.33364830835071,999,Truncated: Sleep
82,12.611325716529247,999,Truncated: Sleep
83,4.929547512297675,999,Truncated: Sleep
84,0.6634818360290304,999,Truncated: Sleep
85,22.255747532451046,999,Truncated: Sleep
86,-27.55007467288437,999,Truncated: Sleep
87,114.06185676574079,977,Terminated: Crash
88,124.41349563526789,983,Terminated: Crash
89,15.201291343669974,999,Truncated: Sleep
90,139.42469153222953,844,Terminated: Crash
91,197.60453244586554,692,Terminated: Crash
92,188.43234396548954,638,Terminated: Crash
93,214.6276845268556,621,Terminated: Landed
94,178.2114506382697,764,Terminated: Crash
95,183.0451152037503,756,Terminated: Crash
96,192.40770453325564,663,Terminated: Crash
97,204.73058731314822,818,Terminated: Landed
98,173.32948350308783,684,Terminated: Crash
99,201.0256351599849,648,Terminated: Landed
100,225.20645977948303,625,Terminated: Landed
101,187.3046013062264,604,Terminated: Crash
102,206.68857958925253,567,Terminated: Landed
103,196.30379675186785,690,Terminated: Crash
104,188.02245306362613,540,Terminated: Crash
105,257.2205275729352,512,Terminated: Landed
106,190.30651973872887,541,Terminated: Crash
107,185.27968870028178,507,Terminated: Crash
108,258.6898769840669,470,Terminated: Landed
109,106.20884263664337,926,Terminated: Crash
110,216.019234271827,599,Terminated: Landed
111,236.40720071141243,561,Terminated: Landed
112,264.94390501115464,411,Terminated: Landed
113,223.1076584280824,589,Terminated: Landed
114,225.8959420273041,566,Terminated: Landed
115,203.77229058747974,497,Terminated: Landed
116,186.74542030942473,494,Terminated: Crash
117,260.31534754876907,417,Terminated: Landed
118,185.8638630313798,539,Terminated: Crash
119,171.22176725452442,587,Terminated: Crash
120,233.49418580141145,386,Terminated: Landed
121,241.8944817486006,379,Terminated: Landed
122,237.04455873476678,409,Terminated: Landed
123,183.97031610683297,422,Terminated: Crash
124,165.09627452017716,466,Terminated: Crash
125,154.51380418023015,695,Terminated: Crash
126,194.72026742786653,527,Terminated: Crash
127,222.0172790575291,417,Terminated: Landed
128,224.17482564365082,348,Terminated: Landed
129,194.12140908522042,600,Terminated: Crash
130,-219.44316043511307,663,Terminated: Crash
131,236.8743125009406,412,Terminated: Landed
132,40.824281364347016,890,Terminated: Crash
133,134.40500174909914,866,Terminated: Crash
134,161.04452626070108,589,Terminated: Crash
135,-0.22755700515299804,999,Truncated: Sleep
136,150.69326917017892,799,Terminated: Crash
137,214.42479830895616,507,Terminated: Landed
138,216.06932497926843,486,Terminated: Landed
139,245.33530363193432,392,Terminated: Landed
140,177.3168048901968,372,Terminated: Crash
141,195.43132413266346,668,Terminated: Crash
