LIBELLE,SERVICE,latitude,longitude,retard_moyen
BOLOGNE,National,48.198721,5.13444,
CHANGIS ST JEAN,National,48.959164,3.025348,
STE COLOMBE LES VIENNE ST ROMAIN EN GAL,National,45.527365,4.864695,
AUBIAT,National,45.983875,3.160423,
LOREUX,National,47.390203,1.834339,
GANNAT,National,46.097618,3.204865,
RASSUEN,National,43.496797,4.972963,
CHILLY MAZARIN,National,48.700925,2.307529,
MANTHES LAPEYROUSE,National,45.31231,4.986411,
MARMAGNE,National,47.099903,2.282795,
MUSSIDAN,National,45.034545,0.353908,
MENNESSIS,National,49.692177,3.270235,
MENNESSIS,National,49.691943,3.270321,
MONDOUBLEAU,National,47.984261,0.892338,
ANNAPPES,National,50.622876,3.146351,
AUDRIEU,National,49.216318,-0.595249,
PONTARLIER,National,46.899577,6.357115,
LYON VAISE,National,45.780177,4.803464,
ARNEKE,National,50.830818,2.408173,
PATAY,National,48.049415,1.699938,
LE TEIL,National,44.553268,4.686673,
LE TEIL,National,44.55263,4.686544,
LESQUIN,National,50.589998,3.118756,
ST CESAIRE,National,43.813546,4.327964,
FLORANGE,National,49.330373,6.113758,
ANZELING,National,49.262417,6.459586,
ANZELING,National,49.262417,6.459586,
RENESCURE,National,50.731969,2.372331,
ROUXMESNIL,National,49.898835,1.10583,
ROUXMESNIL,National,49.894893,1.113821,
VALENCE,National,44.927919,4.893438,
BRESLES,National,49.415048,2.248991,
JONZAC,National,45.438687,-0.44199,
PITHIVIERS,National,48.17833,2.246654,
LA HUTTE COULOMBIERS,National,48.301002,0.104262,
LA HUTTE COULOMBIERS,National,48.303313,0.105746,
HENIN BEAUMONT,National,50.416899,2.952469,
LACQ,National,43.41189,-0.627149,
MARCHEZAIS BROUE,National,48.768307,1.513661,
LE MERIDIEN,National,45.768913,4.748268,
PONT DE L ALMA,National,48.862463,2.300382,
RILLY LA MONTAGNE,National,49.166479,4.040906,
BENING,National,49.138234,6.82857,
BENING,National,49.138502,6.827859,
COMMENTRY,National,46.298738,2.747704,
COMMENTRY,National,46.295268,2.740155,
ORTHEZ,National,43.484058,-0.767248,
CROIX SAINTE,National,43.408881,5.01971,
STE PAZANNE,National,47.102437,-1.817875,
STE PAZANNE,National,47.105564,-1.813773,
VILLENEUVE D INGRE,National,47.934452,1.834855,
MAUVES SUR LOIRE,National,47.292863,-1.389124,
NOIRETABLE,National,45.816015,3.761191,
VILLEDIEU LES POELES,National,48.83423,-1.225273,
SAVIGNY SUR ORGE,National,48.674472,2.3507,
BARTENHEIM,National,47.634907,7.487635,
DOMFRONT,National,48.107761,0.0261559999999999,
BAYON,National,48.468006,6.322869,
NICE ST ROCH,National,43.715174,7.286559,
QUIMPER,National,47.994824,-4.092233,6.621944444444444
PARTHENAY,National,46.646624,-0.239098,
PARTHENAY,National,46.646994,-0.239423,
LAIGNE ST GERVAIS,National,47.874086,0.217117,
ORANGE,National,44.137455,4.819641,
ORANGE,National,44.137447,4.819662,
HYMONT MATTAINCOURT,National,48.270449,6.14659,
HYMONT MATTAINCOURT,National,48.270739,6.140158,
ASNIERES SUR SEINE,National,48.905528,2.284226,
ASNIERES SUR SEINE,National,48.905232,2.284018,
ASNIERES SUR SEINE,National,48.905632,2.284369,
CHAMBORIGAUD,National,44.300322,3.97943,
QUIMPERLE,National,47.86931,-3.552989,
LAMBALLE,National,48.465943,-2.511461,
LAMBALLE,National,48.466078,-2.505847,
ST AUBIN ST LUPERCE,National,48.447663,1.331739,
LA VANCELLE,National,48.27695,7.346348,
MIRAMAS,National,43.580979,4.998793,
MIRAMAS,National,43.580922,4.999642,
MIRAMAS,National,43.580925,4.999683,
JUVISY,National,48.689257,2.383583,
JUVISY,National,48.688484,2.380622,
CHARMONT,National,48.403206,4.173756,
BAR SUR AUBE,National,48.238566,4.707059,
BRUGES,National,44.885946,-0.608935,
VERNEUIL SUR AVRE,National,48.742723,0.929326,
ST CYPRIEN EN DORDOGNE,National,44.863326,1.043594,
SOULAC SUR MER,National,45.50797,-1.117391,
LIVRY GARGAN,National,48.907677,2.516725,
ST BERON LA BRIDOIRE,National,45.504001,5.731846,
YGOS,National,43.978284,-0.736195,
TETING,National,49.051719,6.664731,
VEYNES DEVOLUY,National,44.531641,5.815249,
VEYNES DEVOLUY,National,44.531879,5.815941,
ARC ET SENANS,National,47.030272,5.776756,
ARC ET SENANS,National,47.031478,5.77548,
PONT CARDINET,National,48.88752,2.314071,
PONT CARDINET,National,48.887868,2.314727,
PONT CARDINET,National,48.887783,2.314631,
PONT CARDINET,National,48.887647,2.313387,
CULMONT CHALINDREY,National,47.809602,5.44375,
CULMONT CHALINDREY,National,47.806716,5.448168,
CULMONT CHALINDREY,National,47.808467,5.445906,
AVESNELLES,National,50.119776,3.946105,
ST LOTHAIN,National,46.823107,5.64381,
BELLENAVES,National,46.199342,3.066615,
ST OUEN L AUMONE,National,49.045426,2.107668,
COULOMBIERS,National,46.48009,0.1853789999999999,
MONTCEAU LES MINES,National,46.670512,4.361105,
LE CROISIC,National,47.289762,-2.506895,
PARIS MONTPARNASSE,National,48.840643,2.319821,8.103945345858241
LOCHES,National,47.130402,1.000979,
ARBOIS,National,46.912701,5.76309,
ROUEN RIVE DROITE,National,49.449188,1.094234,
ROUILLE,National,46.41875,0.041896,
HAGUENAU,National,48.828951,7.741946,
HAGUENAU,National,48.813269,7.782383,
HAGUENAU,National,48.810012,7.782988999999999,
HAGUENAU,National,48.813379,7.782165,
LA CHARITE SUR LOIRE,National,47.179961,3.024082,
LE CREUSOT MONTCEAU MONTCHANIN,National,46.765335,4.50065,3.846133333333333
LE CREUSOT MONTCEAU MONTCHANIN,National,46.765214,4.500112,3.846133333333333
