# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-117.05142766423523,57,Terminated: Crash
1,-184.97413331270218,73,Terminated: Crash
2,-141.89492777793203,63,Terminated: Crash
3,-136.51758696883917,82,Terminated: Crash
4,-155.45284444093704,84,Terminated: Crash
5,-143.2004949748516,54,Terminated: Crash
6,-115.9421799054835,59,Terminated: Crash
7,-33.95783871412277,75,Terminated: Crash
8,-138.09920408576727,67,Terminated: Crash
9,-136.8739893734455,52,Terminated: Crash
10,-151.8088593967259,73,Terminated: Crash
11,-110.5246043568477,76,Terminated: Crash
12,-140.94526106864214,64,Terminated: Crash
13,-135.54699969675858,56,Terminated: Crash
14,-253.84999233484268,81,Terminated: Crash
15,-153.45881539583206,60,Terminated: Crash
16,-141.60252493945882,68,Terminated: Crash
17,-138.57624055282213,69,Terminated: Crash
18,-122.0314664049074,56,Terminated: Crash
19,-156.74034008337185,74,Terminated: Crash
20,-137.8140852241777,59,Terminated: Crash
21,-133.98723665997386,89,Terminated: Crash
22,-114.99032708629966,90,Terminated: Crash
23,-152.00963819026947,55,Terminated: Crash
24,-124.54745692410506,77,Terminated: Crash
25,-120.49997112900019,85,Terminated: Crash
26,-135.8550319671631,64,Terminated: Crash
27,-137.715813934803,51,Terminated: Crash
28,-311.7244072854519,107,Terminated: Out of view
29,-153.5152372829616,82,Terminated: Crash
30,-131.4178843665868,58,Terminated: Crash
31,-119.71175508014858,76,Terminated: Crash
32,-86.36901152133942,60,Terminated: Crash
33,-129.76381877064705,58,Terminated: Crash
34,-139.82526780292392,72,Terminated: Crash
35,-151.48191157355905,85,Terminated: Crash
36,-157.75526222586632,82,Terminated: Crash
37,-112.9636141245137,77,Terminated: Crash
38,-162.78101235628128,60,Terminated: Crash
39,-140.51819016039371,62,Terminated: Crash
40,-130.75039203837514,85,Terminated: Crash
