# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-65.10669164476474,63,Terminated: Crash
1,-547.8924476613064,102,Terminated: Out of view
2,-346.6665962486014,92,Terminated: Out of view
3,-179.80962979262955,104,Terminated: Crash
4,-139.3474414034372,58,Terminated: Crash
5,-189.36032126263177,81,Terminated: Crash
6,-57.673635174326385,75,Terminated: Crash
7,-106.37073377242332,202,Terminated: Crash
8,-26.28852367229112,122,Terminated: Crash
9,-126.10629955941866,84,Terminated: Crash
10,-200.80051608997633,144,Terminated: Crash
11,-80.42052648543716,165,Terminated: Crash
12,-80.44943757136602,133,Terminated: Crash
13,-20.634478298775576,164,Terminated: Crash
14,-243.5901679306667,235,Terminated: Crash
15,-59.48014840422125,98,Terminated: Crash
16,-70.98954945002718,241,Terminated: Crash
17,-5.068410227361682,139,Terminated: Crash
18,-71.79713778118519,205,Terminated: Crash
19,-102.17945057359455,999,Truncated: Sleep
20,-94.97065814687251,999,Truncated: Sleep
21,-51.96317097747601,999,Truncated: Sleep
22,16.06339272902176,999,Truncated: Sleep
23,-35.77570669622797,999,Truncated: Sleep
24,-43.5721643861664,999,Truncated: Sleep
25,-270.06920686103547,413,Terminated: Crash
26,289.75653778666526,727,Terminated: Landed
27,214.8049278021177,197,Terminated: Landed
28,-121.96052740160815,663,Terminated: Crash
29,-44.23643514361702,999,Truncated: Sleep
30,-132.47853466641504,999,Truncated: Sleep
31,177.1758614705198,531,Terminated: Crash
32,-37.59542384358134,104,Terminated: Crash
33,-9.422999883088682,999,Truncated: Sleep
34,286.8570045880211,359,Terminated: Landed
35,-74.82498187153531,999,Truncated: Sleep
36,-11.596929164342743,999,Truncated: Sleep
37,-2.582582110710523,999,Truncated: Sleep
38,-21.173027362410664,999,Truncated: Sleep
39,-11.609751092991708,999,Truncated: Sleep
40,-17.278750525735024,999,Truncated: Sleep
41,-41.648650918199706,999,Truncated: Sleep
42,-65.14536888847279,999,Truncated: Sleep
43,-17.832598806102432,999,Truncated: Sleep
44,8.86806000551294,999,Truncated: Sleep
45,-8.14840357550553,999,Truncated: Sleep
46,29.029222578101518,999,Truncated: Sleep
47,-0.5752913219033031,999,Truncated: Sleep
48,-19.091705759102666,999,Truncated: Sleep
49,25.850690232032886,999,Truncated: Sleep
50,-30.144459252727504,999,Truncated: Sleep
51,-19.907973176287083,999,Truncated: Sleep
52,-70.50639330805355,999,Truncated: Sleep
53,-43.57420060314949,999,Truncated: Sleep
54,-21.8365560173149,999,Truncated: Sleep
55,181.25267030025807,796,Terminated: Crash
56,-2.0887909205741777,999,Truncated: Sleep
57,-371.4623013296856,343,Terminated: Out of view
58,-358.3247185196011,378,Terminated: Out of view
59,-296.33292664123405,218,Terminated: Crash
60,-337.9889134308801,358,Terminated: Out of view
61,-296.2310944468959,302,Terminated: Crash
62,-284.8722744516284,176,Terminated: Crash
63,-96.07632531371137,389,Terminated: Crash
64,-156.974197271641,424,Terminated: Crash
65,-1.9455063621798967,999,Truncated: Sleep
66,-1.2767332301201721,999,Truncated: Sleep
67,-92.72073500020582,999,Truncated: Sleep
68,-157.80577862839587,490,Terminated: Crash
69,-7.924239658032593,999,Truncated: Sleep
70,1.625195907934405,999,Truncated: Sleep
71,15.336521295239663,999,Truncated: Sleep
72,-46.48901611504013,999,Truncated: Sleep
73,-285.9034296201928,939,Terminated: Crash
74,-37.04706429455199,999,Truncated: Sleep
75,-36.2758178701657,999,Truncated: Sleep
76,-214.7328367170419,861,Terminated: Crash
77,-138.92020414405053,999,Truncated: Sleep
78,-97.28287644744758,999,Truncated: Sleep
79,-31.977873995155246,999,Truncated: Sleep
80,-6.130429718661007,999,Truncated: Sleep
81,-18.601878114681437,999,Truncated: Sleep
82,-3.7078877300938116,999,Truncated: Sleep
83,-5.390119168722038,999,Truncated: Sleep
84,2.680882819310093,999,Truncated: Sleep
85,10.932905222853044,999,Truncated: Sleep
86,2.795470846052158,999,Truncated: Sleep
87,-1.3262295032219884,999,Truncated: Sleep
88,-48.93608894813128,999,Truncated: Sleep
89,-1.9445205892497068,999,Truncated: Sleep
90,-5.648452838352078,999,Truncated: Sleep
91,-42.94395542068481,999,Truncated: Sleep
92,-6.619305534549481,999,Truncated: Sleep
